"token"	"keyness"	"freq"	"key_neg"
"publick"	5.1900	10	"positive"
"note"	5.1810	52	"positive"
"army"	5.1130	5	"positive"
"lining"	5.1130	5	"positive"
"partnership"	5.1130	5	"positive"
"readily"	5.1130	5	"positive"
"scuffle"	5.1130	5	"positive"
"stuck"	5.1130	5	"positive"
"justice"	5.0850	35	"positive"
"call"	5.0670	42	"positive"
"december"	5.0460	9	"positive"
"mercy"	74.6690	15	"negative"
"picked"	35.6610	70	"negative"
"man"	33.4510	407	"negative"
"i"	32.5890	6376	"negative"
"distress"	32.3510	19	"negative"
"carry"	31.5490	33	"negative"
"along"	30.3180	44	"negative"
"them"	30.1530	475	"negative"
"beg"	29.7920	6	"negative"
"stop"	26.0480	33	"negative"
"up"	23.8360	418	"negative"
"young"	23.5840	75	"negative"
"shop"	22.6950	85	"negative"
"thief"	22.5570	26	"negative"
"dropped"	22.1210	9	"negative"
"took"	22.0720	354	"negative"
"throw"	21.4350	8	"negative"
"guilty"	20.0950	27	"negative"
"policeman"	20.0090	32	"negative"
"me"	19.0650	1893	"negative"
"walking"	17.8390	9	"negative"
"handkerchief"	16.6250	51	"negative"
"cry"	15.2750	17	"negative"
"two"	15.1550	228	"negative"
"it"	14.7620	1572	"negative"
"coming"	14.1550	102	"negative"
"nothing"	13.4810	162	"negative"
"bad"	12.6080	63	"negative"
"was"	12.5460	1948	"negative"
"say"	12.3990	81	"negative"
"stopped"	12.3980	62	"negative"
"going"	12.0230	203	"negative"
"a"	11.5930	1900	"negative"
"first"	10.3880	47	"negative"
"threw"	10.1190	19	"negative"
"gentleman"	9.7320	145	"negative"
"crown"	9.4990	29	"negative"
"through"	9.4020	34	"negative"
"yards"	9.2680	15	"negative"
"boots"	8.9390	10	"negative"
"ran"	8.6850	73	"negative"
"distressed"	8.6770	5	"negative"
"take"	8.6610	195	"negative"
"boys"	8.5460	7	"negative"
"boy"	8.4990	53	"negative"
"heard"	8.4730	55	"negative"
"running"	8.3080	22	"negative"
"road"	7.6680	49	"negative"
"sorry"	7.3320	13	"negative"
"standing"	6.8220	14	"negative"
"bundle"	6.5800	23	"negative"
"drop"	6.5610	11	"negative"
"stole"	6.5320	9	"negative"
"am"	6.3090	248	"negative"
"shilling"	6.1940	52	"negative"
"side"	6.1280	17	"negative"
"given"	5.8720	41	"negative"
"pots"	5.7360	6	"negative"
"who"	5.7120	157	"negative"
"offence"	5.5560	7	"negative"
"did"	5.5330	419	"negative"
"they"	5.5320	398	"negative"
"person"	5.5100	87	"negative"
"hundred"	5.4180	5	"negative"
"the"	5.2130	4739	"negative"
"returning"	5.1820	8	"negative"
"swear"	5.1480	16	"negative"
